jsic	unified_id	reason
A	UNI-36e5daa9c3	cap_per_jsic
A	UNI-36ffc461ee	cap_per_jsic
A	UNI-378b7f4028	cap_per_jsic
A	UNI-382f080d65	cap_per_jsic
A	UNI-38748f296c	cap_per_jsic
A	UNI-38e7167472	cap_per_jsic
A	UNI-399ff904ff	cap_per_jsic
A	UNI-39c6074f5c	cap_per_jsic
A	UNI-3a034ac287	cap_per_jsic
A	UNI-3a6bd9dafd	cap_per_jsic
A	UNI-3a93114323	cap_per_jsic
A	UNI-3aca00e254	cap_per_jsic
A	UNI-3b395ac2bf	cap_per_jsic
A	UNI-3b69b9ef3c	cap_per_jsic
A	UNI-3b70294506	cap_per_jsic
A	UNI-3bb297117c	cap_per_jsic
A	UNI-3bee0912de	cap_per_jsic
A	UNI-3d2215f7ac	cap_per_jsic
A	UNI-3d3d5b3f06	cap_per_jsic
A	UNI-3d671e42a4	cap_per_jsic
A	UNI-3f7dab6303	cap_per_jsic
A	UNI-3fd7e5909a	cap_per_jsic
A	UNI-427e708672	cap_per_jsic
A	UNI-44d12fd531	cap_per_jsic
A	UNI-44ff41e896	cap_per_jsic
A	UNI-45da2a2edc	cap_per_jsic
A	UNI-480a17caa4	cap_per_jsic
A	UNI-49240dc5c1	cap_per_jsic
A	UNI-4992cc3275	cap_per_jsic
A	UNI-49f8d9011b	cap_per_jsic
A	UNI-4be2af7063	cap_per_jsic
A	UNI-4c5d982c42	cap_per_jsic
A	UNI-4c61419b8e	cap_per_jsic
A	UNI-4c7ed98659	cap_per_jsic
A	UNI-4ca7c8a463	cap_per_jsic
A	UNI-4d9fc07b7f	cap_per_jsic
A	UNI-4ddc25208f	cap_per_jsic
A	UNI-4df99260fc	cap_per_jsic
A	UNI-4dfd2645e6	cap_per_jsic
A	UNI-4e69acc81f	cap_per_jsic
A	UNI-507dcb7cb7	cap_per_jsic
A	UNI-5084727154	cap_per_jsic
A	UNI-50d1f58682	cap_per_jsic
A	UNI-5204704513	cap_per_jsic
A	UNI-5593da14f9	cap_per_jsic
A	UNI-5630a731dd	cap_per_jsic
A	UNI-565d94de33	cap_per_jsic
A	UNI-569342a09b	cap_per_jsic
A	UNI-58573f89e9	cap_per_jsic
A	UNI-589881c4ea	cap_per_jsic
A	UNI-5ad5410d5a	cap_per_jsic
A	UNI-5afa94d9aa	cap_per_jsic
A	UNI-5bdf23f600	cap_per_jsic
A	UNI-5cb4538235	cap_per_jsic
A	UNI-5dc07be543	cap_per_jsic
A	UNI-5e2d869ec2	cap_per_jsic
A	UNI-5e6a099c2c	cap_per_jsic
A	UNI-5e9dde0f29	cap_per_jsic
A	UNI-5efdda7b2a	cap_per_jsic
A	UNI-6033d5a1b3	cap_per_jsic
A	UNI-60a1c50506	cap_per_jsic
A	UNI-62fe9cc507	cap_per_jsic
A	UNI-6336d70def	cap_per_jsic
A	UNI-6498556456	cap_per_jsic
A	UNI-64e5d2b928	cap_per_jsic
A	UNI-65c2b50259	cap_per_jsic
A	UNI-661413788b	cap_per_jsic
A	UNI-66a8d9ab84	cap_per_jsic
A	UNI-66fc899a93	cap_per_jsic
A	UNI-6728931e85	cap_per_jsic
A	UNI-67b655ffb3	cap_per_jsic
A	UNI-680302ee1d	cap_per_jsic
A	UNI-6858007e63	cap_per_jsic
A	UNI-687b0b07cc	cap_per_jsic
A	UNI-68c38bde95	cap_per_jsic
A	UNI-68d1617738	cap_per_jsic
A	UNI-68e5b6babf	cap_per_jsic
A	UNI-6ab2896824	cap_per_jsic
A	UNI-6b98c7c054	cap_per_jsic
A	UNI-6b9c455eab	cap_per_jsic
A	UNI-6bcafbb872	cap_per_jsic
A	UNI-6c89a9657c	cap_per_jsic
A	UNI-6d7a333e12	cap_per_jsic
A	UNI-6e1f8e479b	cap_per_jsic
A	UNI-7042297e76	cap_per_jsic
A	UNI-71ac902b98	cap_per_jsic
A	UNI-71c0751f1e	cap_per_jsic
